Unnamed: 0,Date,Manufacturing_Date,Expiry_Date,Days_to_Expiry_at_Sale,Is_Near_Expiry_At_Sale,Product_ID,Product_Name,Category,Company_Name,Is_Perishable,Shelf_Life_Days,Storage_Temperature,Lot_ID,Stock_Batch_Quantity,Quantity_Stocked,Quantity_Sold,Wastage_Units,On_Hand_After_Sale,Near_Expiry_Units,Price_per_Unit,Revenue,Feedback_Score,Supermarket_Branch
0,2023-11-23,2023-11-09,2023-11-25,2,True,3065,Pomegranate,Fruits,FreshFarms,True,16,Cool (10-15°C),LOT-20231109-209,418,246,105,17,124,124,67.66,7104.3,3,Supermarket C - HSR Layout
1,2024-05-14,2024-05-08,2024-05-15,1,True,3571,Mango,Fruits,FreshFarms,True,7,Cool (10-15°C),LOT-20240508-424,510,245,85,19,141,141,68.35,5809.75,5,Supermarket C - HSR Layout
2,2024-01-10,2023-12-28,2024-01-14,4,False,3529,Apple,Fruits,Del Monte,True,17,Cool (10-15°C),LOT-20231228-306,740,584,231,41,312,8,80.13,18510.03,4,Supermarket C - HSR Layout
3,2025-04-13,2025-04-11,2025-04-19,6,False,3177,Grapes,Fruits,Reliance Fresh,True,8,Cool (10-15°C),LOT-20250411-817,481,277,155,11,111,12,69.52,10775.6,4,Supermarket C - HSR Layout
4,2023-05-14,2023-05-05,2023-05-14,0,True,5304,Milk 500ml,Dairy,Amul,True,9,Chilled (2-4°C),LOT-20230505-695,317,230,129,12,89,89,61.52,7936.08,2,Supermarket C - HSR Layout
5,2025-03-03,2024-09-09,2025-03-13,10,False,8833,Cold Coffee 200ml,Beverages,Nestlé,False,185,Ambient (20-25°C),LOT-20240909-786,830,708,192,21,495,75,34.9,6700.8,2,Supermarket C - HSR Layout
6,2023-12-12,2023-08-04,2024-07-30,231,False,9250,Masala Namkeen 150g,Snacks,Haldiram's,False,361,Ambient (20-25°C),LOT-20230804-577,1018,794,369,22,403,58,90.28,33313.32,4,Supermarket C - HSR Layout
7,2023-03-15,2023-03-11,2023-03-19,4,False,7298,Mutton Curry Cut 500g,Meat,Licious,True,8,Frozen (-18°C),LOT-20230311-549,689,686,239,58,389,19,202.48,48392.72,2,Supermarket C - HSR Layout
8,2025-07-21,2025-04-08,2025-08-23,33,False,9699,Chocolate Bar 45g,Snacks,Cadbury,False,137,Ambient (20-25°C),LOT-20250408-210,873,652,324,18,310,7,94.74,30695.76,2,Supermarket C - HSR Layout
9,2025-04-26,2025-04-20,2025-04-27,1,True,4731,Spinach,Vegetables,FarmGate,True,7,Cool (10-15°C),LOT-20250420-703,559,215,78,17,120,120,39.78,3102.84,3,Supermarket C - HSR Layout
10,2023-09-11,2023-06-02,2023-09-19,8,False,8864,Cold Coffee 200ml,Beverages,Nestlé,False,109,Ambient (20-25°C),LOT-20230602-331,986,444,155,15,274,7,117.66,18237.3,3,Supermarket C - HSR Layout
11,2025-04-16,2025-04-13,2025-04-25,9,False,3405,Pomegranate,Fruits,FreshFarms,True,12,Cool (10-15°C),LOT-20250413-774,583,392,177,26,189,49,86.62,15331.74,4,Supermarket C - HSR Layout
12,2023-11-05,2023-10-25,2024-07-03,241,False,8233,Orange Juice 1L,Beverages,Real,False,252,Ambient (20-25°C),LOT-20231025-132,833,745,267,23,455,126,71.07,18975.69,3,Supermarket C - HSR Layout
13,2023-12-25,2023-12-09,2023-12-26,1,True,3867,Orange,Fruits,Del Monte,True,17,Cool (10-15°C),LOT-20231209-698,1105,915,362,73,480,480,74.0,26788.0,3,Supermarket C - HSR Layout
14,2024-11-02,2024-10-24,2024-11-02,0,True,3823,Banana,Fruits,FreshFarms,True,9,Cool (10-15°C),LOT-20241024-827,375,278,147,17,114,114,45.45,6681.15,3,Supermarket C - HSR Layout
15,2024-09-10,2024-09-01,2024-09-19,9,False,5549,Yogurt Cup,Dairy,Nestlé,True,18,Chilled (2-4°C),LOT-20240901-355,266,231,105,13,113,8,108.54,11396.7,4,Supermarket C - HSR Layout
16,2024-10-14,2024-06-18,2025-03-25,162,False,8258,Orange Juice 1L,Beverages,Real,False,280,Ambient (20-25°C),LOT-20240618-601,558,488,239,18,231,16,38.0,9082.0,4,Supermarket C - HSR Layout
17,2025-12-25,2025-04-01,2026-01-15,21,False,9881,Chocolate Bar 45g,Snacks,Cadbury,False,289,Ambient (20-25°C),LOT-20250401-708,1021,564,222,17,325,19,129.81,28817.82,4,Supermarket C - HSR Layout
18,2025-03-07,2025-03-07,2025-03-10,3,True,6042,Pav 6pc,Bakery,Modern Foods,True,3,Ambient (20-25°C),LOT-20250307-782,579,554,424,15,115,115,97.82,41475.68,4,Supermarket C - HSR Layout
19,2023-11-14,2023-11-08,2024-05-27,195,False,8870,Orange Juice 1L,Beverages,Real,False,201,Ambient (20-25°C),LOT-20231108-578,775,496,214,17,265,27,67.42,14427.88,5,Supermarket C - HSR Layout
20,2023-11-04,2023-10-31,2023-11-08,4,False,5097,Yogurt Cup,Dairy,Nestlé,True,8,Chilled (2-4°C),LOT-20231031-141,463,254,154,13,87,6,86.34,13296.36,4,Supermarket C - HSR Layout
21,2023-05-14,2023-05-10,2023-05-21,7,False,4906,Potato,Vegetables,Namdhari,True,11,Cool (10-15°C),LOT-20230510-906,512,329,131,18,180,49,37.96,4972.76,4,Supermarket C - HSR Layout
22,2024-11-22,2024-05-15,2025-03-27,125,False,8550,Mango Juice 1L,Beverages,Paper Boat,False,316,Ambient (20-25°C),LOT-20240515-158,693,483,127,26,330,25,73.31,9310.37,4,Supermarket C - HSR Layout
23,2023-10-06,2023-10-01,2023-10-13,7,False,4346,Spinach,Vegetables,FarmGate,True,12,Cool (10-15°C),LOT-20231001-853,279,226,54,13,159,28,41.78,2256.12,3,Supermarket C - HSR Layout
24,2025-05-21,2025-05-17,2025-05-24,3,True,5526,Milk 500ml,Dairy,Amul,True,7,Chilled (2-4°C),LOT-20250517-145,526,365,212,22,131,131,33.34,7068.08,4,Supermarket C - HSR Layout
25,2024-07-26,2024-07-19,2024-07-30,4,False,7570,Chicken Breast 500g,Meat,Licious,True,11,Frozen (-18°C),LOT-20240719-573,287,191,68,16,107,4,319.11,21699.48,5,Supermarket C - HSR Layout
26,2024-09-05,2024-09-02,2024-09-07,2,True,6443,Brown Bread,Bakery,Britannia,True,5,Ambient (20-25°C),LOT-20240902-754,317,176,110,6,60,60,33.19,3650.9,3,Supermarket C - HSR Layout
27,2024-07-01,2024-07-01,2024-07-30,29,False,5024,Milk 500ml,Dairy,Amul,True,29,Chilled (2-4°C),LOT-20240701-866,533,434,209,29,196,1,31.45,6573.05,3,Supermarket C - HSR Layout
28,2024-06-14,2024-06-11,2024-06-15,1,True,6100,Pav 6pc,Bakery,Modern Foods,True,4,Ambient (20-25°C),LOT-20240611-248,490,322,161,18,143,143,84.77,13647.97,3,Supermarket C - HSR Layout
29,2024-07-18,2024-03-03,2024-09-15,59,False,8055,Cold Coffee 200ml,Beverages,Nestlé,False,196,Ambient (20-25°C),LOT-20240303-574,677,676,175,27,474,36,103.52,18116.0,3,Supermarket C - HSR Layout
30,2023-06-03,2023-05-30,2023-06-04,1,True,6930,Croissant,Bakery,Local Bakery,True,5,Ambient (20-25°C),LOT-20230530-918,307,156,81,5,70,70,79.96,6476.76,3,Supermarket C - HSR Layout
31,2023-06-25,2023-06-13,2023-06-25,0,True,7395,Chicken Breast 500g,Meat,Licious,True,12,Frozen (-18°C),LOT-20230613-632,322,153,57,14,82,82,211.98,12082.86,2,Supermarket C - HSR Layout
32,2023-11-07,2023-03-25,2023-12-10,33,False,8167,Packaged Water 1L,Beverages,Bisleri,False,260,Ambient (20-25°C),LOT-20230325-605,822,506,130,26,350,90,115.6,15028.0,5,Supermarket C - HSR Layout
33,2024-05-07,2024-05-06,2024-05-13,6,False,7606,Mutton Curry Cut 500g,Meat,Licious,True,7,Frozen (-18°C),LOT-20240506-174,311,257,149,11,97,12,286.86,42742.14,4,Supermarket C - HSR Layout
34,2025-01-19,2025-01-08,2025-01-20,1,True,4563,Potato,Vegetables,Namdhari,True,12,Cool (10-15°C),LOT-20250108-669,640,374,136,36,202,202,29.41,3999.76,3,Supermarket C - HSR Layout
35,2025-06-19,2025-06-15,2025-06-28,9,False,4362,Spinach,Vegetables,FarmGate,True,13,Cool (10-15°C),LOT-20250615-824,617,313,197,20,96,22,23.99,4726.03,4,Supermarket C - HSR Layout
36,2024-04-09,2024-03-25,2024-04-09,0,True,5259,Curd 400g,Dairy,Amul,True,15,Chilled (2-4°C),LOT-20240325-881,665,436,213,25,198,198,44.88,9559.44,4,Supermarket C - HSR Layout
37,2024-10-09,2024-10-04,2024-10-11,2,True,3415,Mango,Fruits,FreshFarms,True,7,Cool (10-15°C),LOT-20241004-638,521,421,253,23,145,145,70.91,17940.23,4,Supermarket C - HSR Layout
38,2025-04-07,2024-11-20,2025-04-13,6,True,8198,Packaged Water 1L,Beverages,Bisleri,False,144,Ambient (20-25°C),LOT-20241120-150,1081,799,256,26,517,517,86.11,22044.16,3,Supermarket C - HSR Layout
39,2025-02-08,2024-05-14,2025-02-08,0,True,9477,Masala Namkeen 150g,Snacks,Haldiram's,False,270,Ambient (20-25°C),LOT-20240514-838,1088,632,254,19,359,359,98.96,25135.84,3,Supermarket C - HSR Layout
40,2023-10-18,2023-10-18,2023-10-30,12,False,4887,Tomato,Vegetables,Namdhari,True,12,Cool (10-15°C),LOT-20231018-948,292,186,117,9,60,16,56.0,6552.0,5,Supermarket C - HSR Layout
41,2025-05-16,2025-05-15,2025-05-22,6,False,4897,Tomato,Vegetables,Namdhari,True,7,Cool (10-15°C),LOT-20250515-231,403,353,194,15,144,21,52.99,10280.06,5,Supermarket C - HSR Layout
42,2025-03-06,2025-02-28,2025-03-11,5,False,3702,Orange,Fruits,Del Monte,True,11,Cool (10-15°C),LOT-20250228-573,402,238,114,16,108,32,39.04,4450.56,3,Supermarket C - HSR Layout
43,2023-02-16,2023-02-12,2023-03-02,14,False,5847,Milk 500ml,Dairy,Amul,True,18,Chilled (2-4°C),LOT-20230212-920,771,485,245,25,215,2,78.36,19198.2,4,Supermarket C - HSR Layout
44,2025-05-07,2025-04-28,2025-09-10,126,False,8095,Soda 500ml,Beverages,Coca-Cola,False,135,Ambient (20-25°C),LOT-20250428-707,1120,840,357,26,457,92,41.45,14797.65,4,Supermarket C - HSR Layout
45,2023-10-24,2023-10-16,2023-10-26,2,True,3410,Orange,Fruits,Del Monte,True,10,Cool (10-15°C),LOT-20231016-852,470,273,139,17,117,117,76.49,10632.11,3,Supermarket C - HSR Layout
46,2024-03-14,2023-12-03,2024-04-30,47,False,8243,Packaged Water 1L,Beverages,Bisleri,False,149,Ambient (20-25°C),LOT-20231203-858,855,635,235,19,381,100,99.43,23366.05,3,Supermarket C - HSR Layout
47,2024-10-13,2024-10-06,2024-10-16,3,True,4459,Potato,Vegetables,Namdhari,True,10,Cool (10-15°C),LOT-20241006-833,612,332,233,12,87,87,25.79,6009.07,2,Supermarket C - HSR Layout
48,2025-12-26,2025-05-24,2026-02-12,48,False,8497,Soda 500ml,Beverages,Coca-Cola,False,264,Ambient (20-25°C),LOT-20250524-149,1050,600,129,24,447,119,18.83,2429.07,3,Supermarket C - HSR Layout
49,2025-04-25,2025-04-23,2025-05-05,10,False,5245,Milk 500ml,Dairy,Amul,True,12,Chilled (2-4°C),LOT-20250423-172,478,307,240,6,61,5,72.57,17416.8,4,Supermarket C - HSR Layout
50,2024-11-06,2024-11-05,2024-11-08,2,True,6623,Brown Bread,Bakery,Britannia,True,3,Ambient (20-25°C),LOT-20241105-203,523,365,193,25,147,147,66.09,12755.37,5,Supermarket C - HSR Layout
51,2025-03-25,2025-03-24,2025-03-28,3,True,6025,Brown Bread,Bakery,Britannia,True,4,Ambient (20-25°C),LOT-20250324-786,539,265,197,7,61,61,116.93,23035.21,5,Supermarket C - HSR Layout
52,2024-01-25,2024-01-14,2024-02-02,8,False,3346,Banana,Fruits,FreshFarms,True,19,Cool (10-15°C),LOT-20240114-553,398,203,116,16,71,17,103.69,12028.04,2,Supermarket C - HSR Layout
53,2023-02-22,2023-02-16,2023-03-01,7,False,4073,Onion,Vegetables,Namdhari,True,13,Cool (10-15°C),LOT-20230216-816,411,317,204,9,104,6,35.14,7168.56,4,Supermarket C - HSR Layout
54,2023-01-27,2023-01-23,2023-02-16,20,False,5520,Curd 400g,Dairy,Amul,True,24,Chilled (2-4°C),LOT-20230123-988,529,393,201,25,167,3,103.9,20883.9,4,Supermarket C - HSR Layout
55,2025-03-23,2025-03-21,2025-03-27,4,False,6303,Croissant,Bakery,Local Bakery,True,6,Ambient (20-25°C),LOT-20250321-183,551,411,218,26,167,37,77.97,16997.46,4,Supermarket C - HSR Layout
56,2023-11-19,2023-11-11,2023-11-20,1,True,4762,Onion,Vegetables,Namdhari,True,9,Cool (10-15°C),LOT-20231111-452,393,273,104,22,147,147,27.78,2889.12,4,Supermarket C - HSR Layout
57,2025-03-12,2025-03-09,2025-03-12,0,True,6611,Croissant,Bakery,Local Bakery,True,3,Ambient (20-25°C),LOT-20250309-457,916,511,240,40,231,231,97.61,23426.4,2,Supermarket C - HSR Layout
58,2023-03-10,2023-03-04,2023-03-11,1,True,4817,Potato,Vegetables,Namdhari,True,7,Cool (10-15°C),LOT-20230304-477,603,596,366,28,202,202,38.07,13933.62,3,Supermarket C - HSR Layout
59,2023-02-27,2023-02-22,2023-03-03,4,False,4596,Spinach,Vegetables,FarmGate,True,9,Cool (10-15°C),LOT-20230222-829,506,265,193,6,66,17,35.12,6778.16,2,Supermarket C - HSR Layout
60,2023-04-12,2023-01-24,2023-08-29,139,False,9706,Chocolate Bar 45g,Snacks,Cadbury,False,217,Ambient (20-25°C),LOT-20230124-766,848,771,238,20,513,46,124.49,29628.62,5,Supermarket C - HSR Layout
