Date,Shop_ID,Shop_Name,City,Product_ID,Product_Name,Category,Supplier_Name,Quantity_Stocked,Quantity_Sold,Price_per_Unit (₹),Revenue (₹),Wastage_Units,Storage_Type,Feedback_Score
2024-01-01,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,45,28,42.0,1176.0,17,Refrigerated,2
2024-01-01,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,63,53,38.0,2014.0,10,Ambient,4
2024-01-01,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,45,26,240.0,6240.0,19,Ice Box,3
2024-01-01,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,44,36,72.0,2592.0,8,Refrigerated,3
2024-01-01,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,64,43,25.0,1075.0,21,Ambient,3
2024-01-01,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,42,38,35.0,1330.0,4,Ambient,4
2024-01-01,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,18,16,420.0,6720.0,2,Ambient,3
2024-01-01,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,49,49,155.0,7595.0,0,Ambient,4
2024-01-01,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,27,24,20.0,480.0,3,Ambient,3
2024-01-01,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,23,19,40.0,760.0,4,Refrigerated,4
2024-01-02,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,69,50,42.0,2100.0,19,Refrigerated,3
2024-01-02,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,29,24,38.0,912.0,5,Ambient,4
2024-01-02,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,35,25,240.0,6000.0,10,Ice Box,3
2024-01-02,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,22,21,72.0,1512.0,1,Refrigerated,4
2024-01-02,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,64,57,25.0,1425.0,7,Ambient,3
2024-01-02,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,61,34,35.0,1190.0,27,Ambient,3
2024-01-02,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,36,25,420.0,10500.0,11,Ambient,2
2024-01-02,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,32,30,155.0,4650.0,2,Ambient,4
2024-01-02,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,26,19,20.0,380.0,7,Ambient,4
2024-01-02,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,16,12,40.0,480.0,4,Refrigerated,3
2024-01-03,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,62,61,42.0,2562.0,1,Refrigerated,4
2024-01-03,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,56,35,38.0,1330.0,21,Ambient,2
2024-01-03,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,26,21,240.0,5040.0,5,Ice Box,4
2024-01-03,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,49,48,72.0,3456.0,1,Refrigerated,5
2024-01-03,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,62,49,25.0,1225.0,13,Ambient,4
2024-01-03,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,20,11,35.0,385.0,9,Ambient,2
2024-01-03,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,41,26,420.0,10920.0,15,Ambient,2
2024-01-03,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,28,24,155.0,3720.0,4,Ambient,4
2024-01-03,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,44,38,20.0,760.0,6,Ambient,4
2024-01-03,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,19,18,40.0,720.0,1,Refrigerated,4
2024-01-04,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,56,42,42.0,1764.0,14,Refrigerated,3
2024-01-04,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,44,35,38.0,1330.0,9,Ambient,3
2024-01-04,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,59,41,240.0,9840.0,18,Ice Box,3
2024-01-04,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,30,18,72.0,1296.0,12,Refrigerated,3
2024-01-04,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,39,22,25.0,550.0,17,Ambient,3
2024-01-04,KIR002,Annapurna Kirana Store,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,68,43,35.0,1505.0,25,Ambient,3
2024-01-04,KIR002,Annapurna Kirana Store,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,16,8,420.0,3360.0,8,Ambient,3
2024-01-04,KIR002,Annapurna Kirana Store,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,37,20,155.0,3100.0,17,Ambient,2
2024-01-04,KIR002,Annapurna Kirana Store,Bangalore,109,Chips (Large),Snacks,Lays,23,20,20.0,400.0,3,Ambient,4
2024-01-04,KIR002,Annapurna Kirana Store,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,31,21,40.0,840.0,10,Refrigerated,2
2024-01-05,KIR002,Annapurna Kirana Store,Bangalore,101,Milk,Dairy,Nandini Dairy,41,23,42.0,966.0,18,Refrigerated,2
2024-01-05,KIR002,Annapurna Kirana Store,Bangalore,102,Bread (Loaf),Bakery,Britannia,41,35,38.0,1330.0,6,Ambient,4
2024-01-05,KIR002,Annapurna Kirana Store,Bangalore,103,Chicken,Meat,Licious Local Agent,24,15,240.0,3600.0,9,Ice Box,3
2024-01-05,KIR002,Annapurna Kirana Store,Bangalore,104,Eggs (Dozen),Dairy,NECC,42,27,72.0,1944.0,15,Refrigerated,2
2024-01-05,KIR002,Annapurna Kirana Store,Bangalore,105,Banana,Fruits,KR Market Supplier,37,26,25.0,650.0,11,Ambient,3
